# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413.145103055951040,0.00658,0.00067,0.00045,0.00005,0.00028,0.00321,0.01125
1413.178350180951156,0.00466,0.00037,0.00103,0.00003,0.00014,0.00259,0.00882
1413.211511076950956,0.00679,0.00036,0.00063,0.00004,0.00026,0.00277,0.01086
1413.244619128950944,0.00600,0.00040,0.00137,0.00004,0.00029,0.00255,0.01065
1413.277925180951115,0.00719,0.00067,0.00169,0.00003,0.00024,0.00199,0.01182
1413.310966180951027,0.00459,0.00040,0.00137,0.00005,0.00024,0.00222,0.00886
1413.344215284951133,0.00656,0.00061,0.00044,0.00003,0.00023,0.00205,0.00992
1413.377311076950946,0.00593,0.00066,0.00015,0.00005,0.00000,0.00336,0.01015
1413.410556076951025,0.00639,0.00062,0.00202,0.00005,0.00055,0.00262,0.01225
1413.443659128951140,0.00595,0.00061,0.00006,0.00005,0.00015,0.00246,0.00928
1413.476903701950960,0.00624,0.00036,0.00069,0.00003,0.00032,0.00208,0.00972
1413.510014701951150,0.00567,0.00056,0.00015,0.00005,0.00000,0.00333,0.00976
1413.543179701950976,0.00632,0.00071,0.00007,0.00005,0.00041,0.00354,0.01110
1413.576485909951089,0.00568,0.00037,0.00099,0.00003,0.00031,0.00206,0.00944
1413.609525857950985,0.00709,0.00056,0.00026,0.00005,0.00057,0.00235,0.01088
1413.642735232951054,0.00607,0.00098,0.00066,0.00005,0.00054,0.00435,0.01265
1413.675911023951130,0.00946,0.00059,0.00031,0.00005,0.00043,0.00203,0.01286
1413.709042024951032,0.00600,0.00056,0.00151,0.00006,0.00080,0.00236,0.01129
1413.742214076951086,0.00610,0.00036,0.00031,0.00003,0.00034,0.00205,0.00920
1413.775388024951098,0.00667,0.00064,0.00193,0.00005,0.00092,0.00279,0.01300
1413.808560128951058,0.00687,0.00069,0.00107,0.00006,0.00072,0.00247,0.01188
1413.841808180951148,0.00592,0.00068,0.00182,0.00005,0.00077,0.00175,0.01100
1413.874906284951066,0.00584,0.00047,0.00015,0.00003,0.00040,0.00165,0.00853
1413.908166076951147,0.00681,0.00067,0.00043,0.00006,0.00000,0.00388,0.01187
1413.941252128950964,0.00680,0.00046,0.00081,0.00004,0.00051,0.00191,0.01054
1413.974427233951019,0.00493,0.00035,0.00003,0.00002,0.00007,0.00201,0.00743
1414.007599128951142,0.00680,0.00052,0.00063,0.00005,0.00075,0.00314,0.01189
1414.040773285950991,0.00569,0.00043,0.00005,0.00003,0.00000,0.00277,0.00897
1414.073948180950993,0.00541,0.00036,0.00015,0.00003,0.00023,0.00216,0.00833
1414.107119180951031,0.00713,0.00034,0.00091,0.00003,0.00060,0.00240,0.01141
1414.140293076951139,0.00419,0.00031,0.00016,0.00002,0.00033,0.00185,0.00686
1414.173464128951082,0.00656,0.00037,0.00067,0.00003,0.00057,0.00243,0.01063
1414.206638701951078,0.00502,0.00039,0.00017,0.00003,0.00024,0.00368,0.00953
1414.239809649950985,0.00434,0.00027,0.00048,0.00002,0.00036,0.00164,0.00712
1414.272985263951114,0.00445,0.00054,0.00017,0.00004,0.00093,0.00362,0.00974
1414.306157232951136,0.00481,0.00065,0.00155,0.00005,0.00074,0.00216,0.00996
1414.339331337951080,0.00680,0.00055,0.00059,0.00004,0.00090,0.00358,0.01247
1414.372504232951087,0.00616,0.00037,0.00056,0.00003,0.00051,0.00219,0.00983
1414.405675128951088,0.00621,0.00065,0.00032,0.00005,0.00097,0.00243,0.01063
1414.438850388951096,0.00604,0.00062,0.00007,0.00005,0.00000,0.00425,0.01104
1414.472023284951092,0.00660,0.00068,0.00128,0.00006,0.00108,0.00305,0.01274
1414.505195910950988,0.00516,0.00038,0.00004,0.00003,0.00008,0.00254,0.00821
1414.538369440951101,0.00570,0.00042,0.00046,0.00003,0.00060,0.00257,0.00976
1414.571542232951060,0.00650,0.00064,0.00006,0.00005,0.00000,0.00214,0.00939
1414.604714076951041,0.00655,0.00066,0.00129,0.00006,0.00111,0.00175,0.01142
1414.637888076950958,0.00628,0.00074,0.00194,0.00008,0.00089,0.00206,0.01198
1414.671061076950991,0.00681,0.00057,0.00018,0.00005,0.00064,0.00341,0.01166
1414.704233129951035,0.00548,0.00056,0.00095,0.00005,0.00073,0.00228,0.01005
1414.737408128951074,0.00992,0.00026,0.00008,0.00002,0.00015,0.00162,0.01205
1414.770581972951049,0.00715,0.00067,0.00138,0.00006,0.00110,0.00354,0.01391
1414.803776128951085,0.00794,0.00053,0.00027,0.00003,0.00051,0.00261,0.01189
1414.836933076951027,0.00567,0.00044,0.00105,0.00005,0.00072,0.00206,0.01000
1414.870104285951129,0.00743,0.00068,0.00063,0.00005,0.00083,0.00152,0.01114
1414.903282285951036,0.00751,0.00033,0.00059,0.00003,0.00050,0.00222,0.01119
1414.936445024951126,0.00685,0.00062,0.00030,0.00006,0.00093,0.00423,0.01299
1414.969616440951086,0.00643,0.00035,0.00028,0.00003,0.00000,0.00208,0.00917
1415.002790128951119,0.00493,0.00061,0.00105,0.00006,0.00101,0.00394,0.01160
1415.035964024950999,0.00528,0.00034,0.00019,0.00002,0.00005,0.00217,0.00806
1415.069135076950943,0.00968,0.00040,0.00054,0.00004,0.00062,0.00286,0.01414
1415.102307232951034,0.00737,0.00060,0.00021,0.00005,0.00000,0.00277,0.01100
1415.135483180951042,0.00739,0.00069,0.00078,0.00009,0.00099,0.00252,0.01247
1415.201829076951071,0.00735,0.00114,0.00136,0.00003,0.00050,0.00218,0.01256
1415.235001076950994,0.00671,0.00066,0.00021,0.00005,0.00074,0.00369,0.01206
1415.268173232951085,0.00841,0.00077,0.00191,0.00005,0.00063,0.00175,0.01352
1415.301346180950986,0.00683,0.00034,0.00009,0.00002,0.00020,0.00209,0.00958
1415.334520076951094,0.00725,0.00039,0.00058,0.00003,0.00049,0.00217,0.01090
1415.367692233950947,0.00632,0.00059,0.00019,0.00004,0.00098,0.00362,0.01175
1415.400867545951087,0.00740,0.00065,0.00157,0.00004,0.00038,0.00215,0.01219
